model_name,enable_scaling,pca_components,score_mean,score_std,pca_max_ratio,pca_min_ratio
GaussianProcessClassifier,True,,0.61911421911421916,0.21540485933986134,,
KNeighborsClassifier,True,,0.69860139860139858,0.17524557069060087,,
DecisionTreeClassifier,True,,0.65314685314685317,0.15258960968194943,,
SVC,True,,0.56678321678321686,0.020389942408307295,,
NuSVC,True,,0.68496503496503491,0.12504453377235333,,
LinearSVC,True,,0.59836829836829841,0.19693397008438734,,
AdaBoostClassifier,True,,0.68368298368298364,0.14094152647638278,,
GradientBoostingClassifier,True,,0.70314685314685321,0.1340481393686774,,
RandomForestClassifier,True,,0.73368298368298368,0.11947381844978554,,
VotingClassifier,True,,0.68624708624708619,0.14867638311069006,,
GaussianProcessClassifier,True,1,0.48298368298368305,0.094180427324003557,0.44277345135339236,0.44277345135339236
KNeighborsClassifier,True,1,0.68496503496503491,0.10040209096821473,0.44277345135339236,0.44277345135339236
DecisionTreeClassifier,True,1,0.51503496503496504,0.1036014503926963,0.44277345135339236,0.44277345135339236
SVC,True,1,0.5178321678321679,0.083214334648899643,0.44277345135339236,0.44277345135339236
NuSVC,True,1,0.60139860139860146,0.16290646357397917,0.44277345135339236,0.44277345135339236
LinearSVC,True,1,0.50116550116550118,0.076500747831625721,0.44277345135339236,0.44277345135339236
AdaBoostClassifier,True,1,0.56655011655011656,0.11973186155482177,0.44277345135339236,0.44277345135339236
GradientBoostingClassifier,True,1,0.51503496503496504,0.1036014503926963,0.44277345135339236,0.44277345135339236
RandomForestClassifier,True,1,0.51503496503496504,0.1036014503926963,0.44277345135339236,0.44277345135339236
VotingClassifier,True,1,0.56375291375291381,0.13418639199336715,0.44277345135339236,0.44277345135339236
GaussianProcessClassifier,True,2,0.46608391608391619,0.14402567179153353,0.44277345135339236,0.17946558886272126
KNeighborsClassifier,True,2,0.68193473193473197,0.17351897430684282,0.44277345135339236,0.17946558886272126
DecisionTreeClassifier,True,2,0.61526806526806532,0.11752124551291772,0.44277345135339236,0.17946558886272126
SVC,True,2,0.5122377622377623,0.12100967045092326,0.44277345135339236,0.17946558886272126
NuSVC,True,2,0.6806526806526807,0.16962867487639258,0.44277345135339236,0.17946558886272126
LinearSVC,True,2,0.46911421911421919,0.10498765665724748,0.44277345135339236,0.17946558886272126
AdaBoostClassifier,True,2,0.57913752913752914,0.11233424072810863,0.44277345135339236,0.17946558886272126
GradientBoostingClassifier,True,2,0.6111888111888113,0.13489607362509912,0.44277345135339236,0.17946558886272126
RandomForestClassifier,True,2,0.67937062937062931,0.15571435796012292,0.44277345135339236,0.17946558886272126
VotingClassifier,True,2,0.64731934731934726,0.10921772060862679,0.44277345135339236,0.17946558886272126
GaussianProcessClassifier,True,3,0.63193473193473193,0.13933204494689327,0.44277345135339236,0.11546843091324335
KNeighborsClassifier,True,3,0.70011655011655016,0.15219214006679793,0.44277345135339236,0.11546843091324335
DecisionTreeClassifier,True,3,0.63065268065268065,0.12317665663153188,0.44277345135339236,0.11546843091324335
SVC,True,3,0.54860139860139867,0.050136332627309182,0.44277345135339236,0.11546843091324335
NuSVC,True,3,0.71550116550116549,0.13833001374114828,0.44277345135339236,0.11546843091324335
LinearSVC,True,3,0.70011655011655016,0.16946386946386949,0.44277345135339236,0.11546843091324335
AdaBoostClassifier,True,3,0.61678321678321679,0.12185458212231301,0.44277345135339236,0.11546843091324335
GradientBoostingClassifier,True,3,0.64603729603729598,0.14561937794461033,0.44277345135339236,0.11546843091324335
RandomForestClassifier,True,3,0.70163170163170163,0.14728494995438696,0.44277345135339236,0.11546843091324335
VotingClassifier,True,3,0.68344988344988344,0.13059564078056254,0.44277345135339236,0.11546843091324335
GaussianProcessClassifier,True,4,0.64860139860139854,0.16503883353162949,0.44277345135339236,0.049622931127608599
KNeighborsClassifier,True,4,0.71678321678321677,0.15217937604756707,0.44277345135339236,0.049622931127608599
DecisionTreeClassifier,True,4,0.69988344988344986,0.22590587723459013,0.44277345135339236,0.049622931127608599
SVC,True,4,0.54860139860139867,0.050136332627309182,0.44277345135339236,0.049622931127608599
NuSVC,True,4,0.76829836829836817,0.15393998339524492,0.44277345135339236,0.049622931127608599
LinearSVC,True,4,0.65116550116550109,0.21972822269095388,0.44277345135339236,0.049622931127608599
AdaBoostClassifier,True,4,0.65314685314685317,0.16982091902485169,0.44277345135339236,0.049622931127608599
GradientBoostingClassifier,True,4,0.668065268065268,0.17548925930707118,0.44277345135339236,0.049622931127608599
RandomForestClassifier,True,4,0.64988344988344993,0.1912521004146889,0.44277345135339236,0.049622931127608599
VotingClassifier,True,4,0.69860139860139858,0.1904378260804033,0.44277345135339236,0.049622931127608599
GaussianProcessClassifier,True,5,0.56631701631701636,0.17649490126184719,0.44277345135339236,0.044001023861277418
KNeighborsClassifier,True,5,0.68344988344988344,0.15933786343559106,0.44277345135339236,0.044001023861277418
DecisionTreeClassifier,True,5,0.75314685314685315,0.14677570385594457,0.44277345135339236,0.044001023861277418
SVC,True,5,0.56678321678321686,0.020389942408307295,0.44277345135339236,0.044001023861277418
NuSVC,True,5,0.73624708624708624,0.17362783456817837,0.44277345135339236,0.044001023861277418
LinearSVC,True,5,0.60244755244755255,0.20771977560039201,0.44277345135339236,0.044001023861277418
AdaBoostClassifier,True,5,0.68519813519813533,0.16524546056134842,0.44277345135339236,0.044001023861277418
GradientBoostingClassifier,True,5,0.6513986013986014,0.18636520347868965,0.44277345135339236,0.044001023861277418
RandomForestClassifier,True,5,0.68648018648018638,0.13235650047331984,0.44277345135339236,0.044001023861277418
